EVE,YEAR,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,BOAT_CODE,WS_CODE,BOAT_LENGTH,BOAT_DIST,BOAT_DROP,DROP_POSITION,BOAT_VIOLATE,BOAT_VIOLATE_DROP
22_E85,2022,14-Aug-36,14AUG22_F01,14AUG22_F01_P1,451,245,14AUG22_F01_P1_0245_B03,14AUG22_F01_P1_0245_S01,10.546,5.439,N/A,N/A,violate min dis,no violate drop off
22_E86,2022,14-Aug-37,14AUG22_F01,14AUG22_F01_P1,451,337,14AUG22_F01_P1_0337_B01,14AUG22_F01_P1_0337_S01,10.768,7.799,N/A,N/A,violate min dis,no violate drop off
22_E87,2022,14-Aug-38,14AUG22_F01,14AUG22_F01_P1,451,412,14AUG22_F01_P1_0412_B01,14AUG22_F01_P1_0412_S01,10.946,8.882,N/A,N/A,violate min dis,no violate drop off
22_E88,2022,14-Aug-39,14AUG22_F01,14AUG22_F01_P2,451,36,14AUG22_F01_P2_0036_B01,14AUG22_F01_P2_0036_S04,9,4.032,N/A,N/A,violate min dis,no violate drop off
22_E89,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P2,451,52,14AUG22_F01_P2_0052_B01,14AUG22_F01_P2_0052_S03,10.267,4.824,N/A,N/A,violate min dis,no violate drop off
22_E90,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P2,451,220,14AUG22_F01_P2_0220_B01,14AUG22_F01_P2_0220_S02,10.651,4.565,4.565,side,violate min dis,violate drop off
22_E91,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P2,451,333,14AUG22_F01_P2_0333_B01,14AUG22_F01_P2_0333_S01,8.891,3.565,N/A,N/A,violate min dis,no violate drop off
22_E91,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P2,451,333,14AUG22_F01_P2_0333_B02,14AUG22_F01_P2_0333_S01,9.019,5.229,N/A,N/A,violate min dis,no violate drop off
22_E92,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P2,451,410,14AUG22_F01_P2_0410_B01,14AUG22_F01_P2_0410_S03,8.218,5.003,N/A,N/A,violate min dis,no violate drop off
22_E93,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P2,451,438,14AUG22_F01_P2_0438_B01,14AUG22_F01_P2_0438_S02,9,8.463,N/A,N/A,violate min dis,no violate drop off
22_E94,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P3,451,108,14AUG22_F01_P3_0108_B01,14AUG22_F01_P3_0108_S02,11.515,2.826,N/A,N/A,violate min dis,no violate drop off
22_E94,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P3,451,108,14AUG22_F01_P3_0108_B02,14AUG22_F01_P3_0108_S02,10.824,9.214,N/A,N/A,violate min dis,no violate drop off
22_E95,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P3,451,224,14AUG22_F01_P3_0224_B01,14AUG22_F01_P3_0224_S01,11.332,6.472,N/A,N/A,violate min dis,no violate drop off
22_E96,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P3,451,322,14AUG22_F01_P3_0322_B01,14AUG22_F01_P3_0322_S02,10.733,9.567,N/A,N/A,violate min dis,no violate drop off
22_E97,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P3,451,406,14AUG22_F01_P3_0406_B01,14AUG22_F01_P3_0406_S01,9.971,4.64,N/A,N/A,violate min dis,no violate drop off
22_E98,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P4,107,42,14AUG22_F01_P4_0042_B01,14AUG22_F01_P4_0042_S02,10.08,1.9,N/A,N/A,violate min dis,no violate drop off
