EVE,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,SWIM_CODE,WS_CODE,G_NO_SWIM,H_OR_T,SWIM_DIST,NO_TOUCHING,SWIM_VIOLATION
22_E66,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,131,13AUG22_F05_P1_0131_G02,13AUG22_F05_P1_0131_S02,2,tail,0,0,violate
22_E67,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,140,13AUG22_F05_P1_0140_G01,13AUG22_F05_P1_0140_S01,3,tail,0,0,violate
22_E68,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,420,13AUG22_F05_P1_0420_G01,13AUG22_F05_P1_0420_S01,2,tail,0,0,violate
22_E68,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,420,13AUG22_F05_P1_0420_G02,13AUG22_F05_P1_0420_S01,1,tail,0,0,violate
22_E69,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,434,13AUG22_F05_P1_0434_G01,13AUG22_F05_P1_0434_S01,2,head,0,0,violate
22_E69,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,434,13AUG22_F05_P1_0434_G03,13AUG22_F05_P1_0434_S01,2,head,0,0,violate
22_E71,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,140,13AUG22_F05_P2_0140_G01,13AUG22_F05_P2_0140_S01,3,head,0,0,violate
22_E72,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,241,13AUG22_F05_P2_0241_G01,13AUG22_F05_P2_0241_S01,2,tail,0,0,violate
22_E72,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,241,13AUG22_F05_P2_0241_G02,13AUG22_F05_P2_0241_S01,2,tail,0,0,violate
22_E72,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,241,13AUG22_F05_P2_0241_G03,13AUG22_F05_P2_0241_S01,2,head,0,0,violate
22_E73,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,403,13AUG22_F05_P2_0403_G01,13AUG22_F05_P2_0403_S01,2,tail,0,0,violate
22_E74,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,448,13AUG22_F05_P2_0448_G01,13AUG22_F05_P2_0448_S01,3,head,0,0,violate
22_E74,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,448,13AUG22_F05_P2_0448_G02,13AUG22_F05_P2_0448_S01,3,tail,0,0,violate
22_E75,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,128,13AUG22_F05_P3_0128_G01,13AUG22_F05_P3_0128_S01,3,tail,0,0,violate
22_E75,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,128,13AUG22_F05_P3_0128_G02,13AUG22_F05_P3_0128_S01,2,head,0,0,violate
22_E76,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,317,13AUG22_F05_P3_0317_G01,13AUG22_F05_P3_0317_S01,3,tail,0,0,violate
22_E77,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,402,13AUG22_F05_P3_0402_G01,13AUG22_F05_P3_0402_S01,3,tail,0,0,violate
22_E77,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,402,13AUG22_F05_P3_0402_G02,13AUG22_F05_P3_0402_S01,2,head,0,0,violate
22_E78,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,416,13AUG22_F05_P3_0416_G01,13AUG22_F05_P3_0416_S01,3,tail,0,0,violate
22_E78,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,416,13AUG22_F05_P3_0416_G02,13AUG22_F05_P3_0416_S01,2,head,0,0,violate
22_E79,13-Aug-22,13AUG22_F05,13AUG22_F05_P4,451,19,13AUG22_F05_P4_0019_G01,13AUG22_F05_P4_0019_S01,2,tail,0,0,violate
22_E79,13-Aug-22,13AUG22_F05,13AUG22_F05_P4,451,19,13AUG22_F05_P4_0019_G02,13AUG22_F05_P4_0019_S01,2,tail,0,0,violate
22_E80,14-Aug-22,14AUG22_F01,14AUG22_F01_P1,451,132,14AUG22_F01_P1_0132_G01,14AUG22_F01_P1_0132_S01,2,tail,0,0,violate
22_E80,14-Aug-23,14AUG22_F01,14AUG22_F01_P1,451,132,14AUG22_F01_P1_0132_G02,14AUG22_F01_P1_0132_S01,2,tail,0,0,violate
22_E80,14-Aug-24,14AUG22_F01,14AUG22_F01_P1,451,132,14AUG22_F01_P1_0132_G04,14AUG22_F01_P1_0132_S01,3,tail,0,0,violate
22_E81,14-Aug-25,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_G01,14AUG22_F01_P1_0040_S01,3,tail,0,0,violate
22_E81,14-Aug-26,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_G02,14AUG22_F01_P1_0040_S01,2,head,0,0,violate
22_E81,14-Aug-27,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_G03,14AUG22_F01_P1_0040_S01,2,head,0,0,violate
22_E81,14-Aug-28,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_G04,14AUG22_F01_P1_0040_S01,2,tail,0,0,violate
22_E81,14-Aug-29,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_G05,14AUG22_F01_P1_0040_S01,3,tail,0,0,violate
22_E81,14-Aug-30,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_G06,14AUG22_F01_P1_0040_S01,3,head,0,0,violate
22_E81,14-Aug-31,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_G07,14AUG22_F01_P1_0040_S01,3,tail,0,0,violate
22_E82,14-Aug-32,14AUG22_F01,14AUG22_F01_P1,451,55,14AUG22_F01_P1_0055_G01,14AUG22_F01_P1_0055_S01,3,tail,0,0,violate
22_E82,14-Aug-33,14AUG22_F01,14AUG22_F01_P1,451,55,14AUG22_F01_P1_0055_G04,14AUG22_F01_P1_0055_S01,3,tail,0,0,violate
22_E82,14-Aug-34,14AUG22_F01,14AUG22_F01_P1,451,55,14AUG22_F01_P1_0055_G06,14AUG22_F01_P1_0055_S01,3,head,0,0,violate
22_E82,14-Aug-35,14AUG22_F01,14AUG22_F01_P1,451,55,14AUG22_F01_P1_0055_G07,14AUG22_F01_P1_0055_S01,3,tail,0,0,violate
22_E82,14-Aug-36,14AUG22_F01,14AUG22_F01_P1,451,55,14AUG22_F01_P1_0055_G08,14AUG22_F01_P1_0055_S01,2,tail,0,0,violate
22_E82,14-Aug-37,14AUG22_F01,14AUG22_F01_P1,451,55,14AUG22_F01_P1_0055_G09,14AUG22_F01_P1_0055_S01,3,tail,0,0,violate
22_E83,14-Aug-38,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_G01,14AUG22_F01_P1_0155_S01,3,tail,0,0,violate
22_E83,14-Aug-39,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_G02,14AUG22_F01_P1_0155_S01,2,head,0,0,violate
22_E83,14-Aug-40,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_G04,14AUG22_F01_P1_0155_S01,3,head,0,0,violate
22_E83,14-Aug-41,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_G05,14AUG22_F01_P1_0155_S01,3,head,0,0,violate
22_E83,14-Aug-42,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_G06,14AUG22_F01_P1_0155_S01,3,head,0,0,violate
22_E83,14-Aug-43,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_G07,14AUG22_F01_P1_0155_S01,2,tail,0,0,violate
22_E84,14-Aug-44,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_G04,14AUG22_F01_P1_0214_S01,3,tail,0,0,violate
22_E84,14-Aug-45,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_G05,14AUG22_F01_P1_0214_S01,2,tail,0,0,violate
22_E84,14-Aug-46,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_G01,14AUG22_F01_P1_0214_S01,3,head,0,0,violate
22_E84,14-Aug-47,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_G02,14AUG22_F01_P1_0214_S01,3,head,0,0,violate
22_E85,14-Aug-48,14AUG22_F01,14AUG22_F01_P1,451,245,14AUG22_F01_P1_0245_G01,14AUG22_F01_P1_0245_S01,2,tail,0,0,violate
