"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_SWIM_VIOLATIONS","SUM_TOUCH_VIOLATIONS","POLICE_PRESENCE","FRE_SWIM_VIOLATION","RATE_SWIM_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","RATE_SUM_SWIM","PERCENTAGE_SWIM_VIO","PERCENTAGE_TOUCH","AVE_FOOTAGE_AREA_km","FRE_SWIM_VIOLATION_min","FRE_SWIM_VIOLATION_min_count","FRE_TOUCH_min","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_SWIM_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"11","25AUG16102900701","2016","Thursday","2016-08-25",560,16913.254,27,16,43,6,1,"no",0.0107142857142857,0.000354751368364716,0.000946003648972575,0.00159638115764122,0.0025423848066138,0.13953488372093,0.0232558139534884,0.016913254,0.64,1,0.11,4.61,1.71,2.89,1.06125650212434,2,0.000170871909095671,-8.6745963517704,1.6,0.470003629245736,-0.44628710262842,1.52822785700856,0.536493370514568,"2016_Thursday"
"12","25AUG16102900702","2016","Thursday","2016-08-25",236,18632.023,2,3,8,1,0,"no",0.00423728813559322,5.36710372244603e-05,0.000161013111673381,0.000107342074448921,0.000429368297795682,0.125,0,0.018632023,0.25,0,0,2.03,0.76,0.51,-0.673344553263766,2,2.73722289844747e-05,-10.5059815992626,3.98,1.38128181929635,-1.38629436111989,0.708035793053696,-0.27443684570176,"2016_Thursday"
"13","25AUG16113300901","2016","Thursday","2016-08-25",313,21277.546,34,1,3,1,0,"no",0.00319488817891374,4.69979009797464e-05,4.69979009797464e-05,0.00159792863331138,0.000140993702939239,0.333333333333333,0,0.021277546,0.19,0,0,0.58,0.19,6.52,1.87487437593856,2,0.000306426314387947,-8.09053324131834,0.09,-2.40794560865187,-1.66073120682165,-0.544727175441672,-1.66073120682165,"2016_Thursday"
"14","25AUG16113300904","2016","Thursday","2016-08-25",126,21946.067,31,1,5,2,0,"no",0.0158730158730159,9.11325022383282e-05,4.55662511191641e-05,0.00141255378469409,0.00022783125559582,0.4,0,0.021946067,0.95,1,0,2.38,0.48,14.76,2.69192081917233,2,0.000672557866518862,-7.3044224033219,0.16,-1.83258146374831,-0.0512932943875506,0.867100487683383,-0.7339691750802,"2016_Thursday"
"15","25AUG16113300908","2016","Thursday","2016-08-25",367,31021.94,26,2,3,1,0,"no",0.00272479564032698,3.22352502777067e-05,6.44705005554134e-05,0.000838116507220374,9.670575083312e-05,0.333333333333333,0,0.03102194,0.16,0,0,0.49,0.33,4.25,1.44691898293633,2,0.000136999813680253,-8.89553099213522,0.12,-2.12026353620009,-1.83258146374831,-0.713349887877465,-1.10866262452161,"2016_Thursday"
"16","26AUG16080501207","2016","Friday","2016-08-26",452,35015.756,64,4,6,3,1,"no",0.00663716814159292,8.56757169543905e-05,0.000114234289272521,0.00182774862836033,0.000171351433908781,0.5,0.166666666666667,0.035015756,0.4,0,0.13,0.8,0.53,8.5,2.14006616349627,2,0.000242747864704106,-8.32348724710709,0.09,-2.40794560865187,-0.916290731874155,-0.22314355131421,-0.63487827243597,"2016_Friday"
"17","26AUG16082601301","2016","Friday","2016-08-26",444,35478.759,305,35,73,14,1,"no",0.0315315315315315,0.000394602302746835,0.000986505756867088,0.00859669302412748,0.00205756915003707,0.191780821917808,0.0136986301369863,0.035478759,1.89,2,0.14,9.86,4.73,41.22,3.71892357546231,2,0.00116182192280175,-6.75776588289739,0.24,-1.42711635564015,0.636576829071551,2.28848616861454,1.55392520250384,"2016_Friday"
"18","26AUG16082601304","2016","Friday","2016-08-26",451,38980.47,257,30,78,11,0,"no",0.024390243902439,0.000282192595420219,0.000769616169327871,0.00659304518390876,0.00200100204025246,0.141025641025641,0,0.03898047,1.46,1,0,10.38,3.99,34.19,3.53193320365121,2,0.000877105894310664,-7.03888282680302,0.3,-1.20397280432594,0.378436435720245,2.33988087773774,1.38379123090177,"2016_Friday"
"19","26AUG16090201401","2016","Friday","2016-08-26",186,34385.418,254,55,72,15,0,"no",0.0806451612903226,0.000436231428101296,0.00159951523637142,0.00738685218251527,0.00209391085488622,0.208333333333333,0,0.034385418,4.84,5,0,23.23,17.74,81.94,4.40598727211873,2,0.00238298688124134,-6.0394005860249,0.28,-1.27296567581289,1.57691472072854,3.14544454678232,2.87582197688143,"2016_Friday"
"20","26AUG16090201404","2016","Friday","2016-08-26",238,39120.499,355,102,96,21,0,"no",0.0882352941176471,0.000536802968694239,0.0026073287050863,0.00907452637554546,0.00245395642831652,0.21875,0,0.039120499,5.29,5,0,24.2,25.71,89.5,4.49423862528081,2,0.00228780312848259,-6.08016325441031,0.27,-1.30933331998376,1.66581824587021,3.18635263316264,3.2468800212778,"2016_Friday"
