"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_BOAT_VIOLATIONS","POLICE_PRESENCE","FRE_BOAT_VIOLATION","RATE_BOAT_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","AVE_FOOTAGE_AREA_km","FRE_BOAT_VIOLATION_min","FRE_BOAT_VIOLATION_min_count","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_BOAT_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"26","26AUG16103801702","2016","Friday","2016-08-26",265,38564.01,201,132,93,35,"no",0.132075471698113,0.000907581965672138,0.00342288055624921,0.00521211357428857,0.03856401,7.92,8,21.06,29.89,45.51,3.81793208202855,2,0.00118011586450683,-6.74214265506489,0.46,-0.776528789498996,2.06939120582633,3.04737550670583,3.39752397629585,"2016_Friday"
"27","26AUG16110101801","2016","Friday","2016-08-26",561,38829.101,330,205,207,55,"no",0.0980392156862745,0.00141646338914723,0.00527954535954876,0.00849878033488337,0.038829101,5.88,6,22.14,21.93,35.29,3.56359963768718,2,0.000908854418236466,-7.00332563256861,0.63,-0.462035459596559,1.77155676191054,3.09738592728049,3.0878555624298,"2016_Friday"
"28","26AUG16110101802","2016","Friday","2016-08-26",356,37686.366,183,110,132,19,"no",0.0533707865168539,0.000504161106963723,0.00291882746136892,0.00485586750391375,0.037686366,3.2,3,22.25,18.54,30.84,3.42881254869513,2,0.000818333080987432,-7.10824111476947,0.72,-0.328504066972036,1.16315080980568,3.10234200861225,2.91993056013771,"2016_Friday"
"29","26AUG16112101901","2016","Friday","2016-08-26",562,38182.378,382,238,237,59,"no",0.104982206405694,0.00154521543943649,0.00623324194213362,0.0100046152180464,0.038182378,6.3,6,25.3,25.41,40.78,3.70819176514631,2,0.00106803195966474,-6.84193761411215,0.62,-0.478035800943,1.84054963339749,3.23080439573347,3.23514279733207,"2016_Friday"
"30","26AUG16112101902","2016","Friday","2016-08-26",358,37433.168,134,78,69,12,"no",0.0335195530726257,0.000320571317928528,0.00208371356653543,0.0035797130502019,0.037433168,2.01,2,11.56,13.07,22.46,3.1117359493103,2,0.000600002650056228,-7.4185764859975,0.51,-0.673344553263766,0.698134722070984,2.44755086324423,2.57031952763613,"2016_Friday"
"31","27AUG16082602101","2016","Saturday","2016-08-27",561,38618.278,358,52,108,15,"no",0.0267379679144385,0.000388417111710678,0.00134651265393035,0.00927022173282817,0.038618278,1.6,2,11.55,5.56,38.29,3.6451887654892,2,0.00099149941382679,-6.916292201203,0.3,-1.20397280432594,0.470003629245736,2.4466854369678,1.71559810826249,"2016_Saturday"
"32","27AUG16082602102","2016","Saturday","2016-08-27",330,39088.222,84,14,33,8,"no",0.0242424242424242,0.00020466523138351,0.000358164154921142,0.00214898492952685,0.039088222,1.45,1,6,2.55,15.27,2.72589011923054,2,0.000390654760403274,-7.84768635374328,0.39,-0.941608539858445,0.371563556432483,1.79175946922805,0.936093359170335,"2016_Saturday"
"33","27AUG16090302201","2016","Saturday","2016-08-27",561,38306.213,287,85,163,26,"no",0.0463458110516934,0.000678741070019111,0.0022189611904471,0.00749225719598019,0.038306213,2.78,3,17.43,9.09,30.7,3.42426265459315,2,0.000801436571137951,-7.1291047267406,0.57,-0.562118918153541,1.02245092770255,2.85819285953193,2.20717490818939,"2016_Saturday"
"34","27AUG16090302202","2016","Saturday","2016-08-27",351,38345.511,119,33,55,12,"no",0.0341880341880342,0.00031294406273527,0.000860596172521994,0.0031033619554581,0.038345511,2.05,2,9.4,5.64,20.34,3.01258939062041,2,0.000530440186336283,-7.54180335586868,0.46,-0.776528789498996,0.717839793150317,2.24070968927596,1.72988406550997,"2016_Saturday"
"35","27AUG16093302301","2016","Saturday","2016-08-27",562,38391.219,248,91,144,26,"no",0.0462633451957295,0.000677238198662043,0.00237033369531715,0.00645981051031487,0.038391219,2.78,3,15.37,9.72,26.48,3.27638973106881,2,0.000689741057714265,-7.27919430948261,0.58,-0.544727175441672,1.02245092770255,2.7324175575505,2.27418561847235,"2016_Saturday"
